@relation is
@attribute h0 numeric
@attribute h1 numeric
@attribute h2 numeric
@attribute h3 numeric
@attribute h4 numeric
@attribute h5 numeric
@attribute h6 numeric
@attribute h7 numeric
@attribute h8 numeric
@attribute h9 numeric
@attribute digit {0,1,2,3,4,5,6,7,8,9}
@data
93,14,12,2,99,11,12,5,0,0,1
49,33,64,17,51,31,66,17,0,0,2
60,35,98,27,58,36,98,26,0,0,2
93,36,39,41,71,44,45,27,0,0,0
67,70,73,17,108,49,74,37,0,0,0
53,56,70,22,106,41,47,60,0,0,0
75,58,40,44,102,48,33,61,0,0,0
104,47,36,40,105,43,43,37,0,0,0
80,23,38,30,82,22,38,31,0,0,0
81,31,65,18,84,44,36,34,0,0,0
68,26,69,50,49,37,66,42,0,0,0
102,22,46,13,110,31,20,30,0,0,0
85,32,24,29,91,20,42,23,0,0,0
87,36,40,19,88,38,35,22,0,0,0
80,44,31,31,88,36,39,31,0,0,0
67,39,34,40,72,32,43,38,0,0,0
93,24,46,28,89,24,50,24,0,0,0
77,29,42,17,88,23,43,22,0,0,0
82,20,47,37,63,35,36,33,0,0,0
106,30,70,47,119,18,81,48,0,0,0
99,37,33,59,57,51,47,31,0,0,0
93,38,28,54,59,42,54,24,0,0,0
53,17,73,38,43,35,47,46,0,0,0
99,9,86,18,89,35,44,34,0,0,0
95,31,34,19,83,37,34,13,0,0,0
85,51,30,25,96,35,51,20,0,0,0
79,37,46,32,97,20,62,33,0,0,0
95,30,55,40,66,37,70,18,0,0,0
79,41,75,17,105,32,67,34,0,0,0
109,28,48,41,70,43,57,17,0,0,0
103,26,43,28,98,29,42,26,0,0,0
101,34,36,28,107,23,52,23,0,0,0
82,48,36,26,111,25,53,32,0,0,0
87,39,32,40,98,11,77,23,0,0,0
135,29,29,35,99,32,59,2,0,0,0
109,6,49,19,100,14,42,18,0,0,0
104,21,44,38,81,37,35,31,0,0,0
87,39,45,17,97,30,53,18,0,0,0
77,55,28,30,94,29,63,21,0,0,0
86,36,33,34,78,40,33,30,0,0,0
85,27,46,40,79,27,52,34,0,0,0
84,46,28,33,90,24,66,17,0,0,0
94,43,53,29,74,54,51,20,0,0,0
75,46,67,11,92,44,54,26,0,0,0
75,48,38,43,71,38,62,29,0,0,0
94,24,52,40,57,45,47,24,0,0,0
86,53,51,41,74,48,73,24,0,0,0
98,39,41,41,76,49,43,29,0,0,0
109,34,40,27,95,42,38,21,0,0,0
88,16,44,38,72,25,42,31,0,0,0
64,47,56,24,73,40,61,26,0,0,0
105,43,30,42,77,51,42,22,0,0,0
102,13,33,35,74,24,39,18,0,0,0
111,21,40,42,90,37,29,37,0,0,0
87,15,37,37,60,27,40,22,0,0,0
